scenario,seed,episode,crashed,failure_category
cut_in_aggressive,0,0,False,Planning
cut_in_aggressive,0,1,False,Planning
cut_in_aggressive,0,2,False,
cut_in_aggressive,0,3,False,
cut_in_aggressive,0,4,False,
cut_in_aggressive,0,5,False,
cut_in_aggressive,0,6,False,
cut_in_aggressive,0,7,True,Planning
cut_in_aggressive,0,8,False,
cut_in_aggressive,0,9,False,
cut_in_aggressive,0,10,False,
cut_in_aggressive,0,11,False,Planning
cut_in_aggressive,0,12,True,Planning
cut_in_aggressive,0,13,False,Planning
cut_in_aggressive,0,14,False,Planning
cut_in_aggressive,0,15,False,
cut_in_aggressive,0,16,False,Planning
cut_in_aggressive,0,17,True,Planning
cut_in_aggressive,0,18,True,Planning
cut_in_aggressive,0,19,False,
cut_in_aggressive,0,20,False,
cut_in_aggressive,0,21,False,
cut_in_aggressive,0,22,False,Planning
cut_in_aggressive,0,23,True,Planning
cut_in_aggressive,0,24,True,Prediction
cut_in_aggressive,0,25,False,
cut_in_aggressive,0,26,False,Planning
cut_in_aggressive,0,27,False,Planning
cut_in_aggressive,0,28,False,Planning
cut_in_aggressive,0,29,False,Planning
cut_in_aggressive,1,0,True,Planning
cut_in_aggressive,1,1,True,Planning
cut_in_aggressive,1,2,True,Planning
cut_in_aggressive,1,3,False,Planning
cut_in_aggressive,1,4,False,Planning
cut_in_aggressive,1,5,False,Planning
cut_in_aggressive,1,6,True,Planning
cut_in_aggressive,1,7,False,
cut_in_aggressive,1,8,False,
cut_in_aggressive,1,9,True,Planning
cut_in_aggressive,1,10,True,Planning
cut_in_aggressive,1,11,True,Alignment
cut_in_aggressive,1,12,False,Planning
cut_in_aggressive,1,13,False,Planning
cut_in_aggressive,1,14,True,Planning
cut_in_aggressive,1,15,False,
cut_in_aggressive,1,16,True,Planning
cut_in_aggressive,1,17,True,Planning
cut_in_aggressive,1,18,True,Prediction
cut_in_aggressive,1,19,False,Planning
cut_in_aggressive,1,20,False,
cut_in_aggressive,1,21,True,Planning
cut_in_aggressive,1,22,False,Planning
cut_in_aggressive,1,23,True,Planning
cut_in_aggressive,1,24,True,Planning
cut_in_aggressive,1,25,False,Planning
cut_in_aggressive,1,26,False,
cut_in_aggressive,1,27,False,Planning
cut_in_aggressive,1,28,False,Planning
cut_in_aggressive,1,29,False,Planning
cut_in_aggressive,2,0,False,
cut_in_aggressive,2,1,False,
cut_in_aggressive,2,2,False,
cut_in_aggressive,2,3,True,Planning
cut_in_aggressive,2,4,False,Planning
cut_in_aggressive,2,5,False,
cut_in_aggressive,2,6,False,
cut_in_aggressive,2,7,False,
cut_in_aggressive,2,8,False,
cut_in_aggressive,2,9,False,
cut_in_aggressive,2,10,True,Planning
cut_in_aggressive,2,11,False,Planning
cut_in_aggressive,2,12,False,
cut_in_aggressive,2,13,True,Planning
cut_in_aggressive,2,14,False,Planning
cut_in_aggressive,2,15,True,Planning
cut_in_aggressive,2,16,False,Planning
cut_in_aggressive,2,17,False,
cut_in_aggressive,2,18,False,Planning
cut_in_aggressive,2,19,False,
cut_in_aggressive,2,20,False,
cut_in_aggressive,2,21,True,Planning
cut_in_aggressive,2,22,False,Planning
cut_in_aggressive,2,23,True,Planning
cut_in_aggressive,2,24,False,Planning
cut_in_aggressive,2,25,False,Planning
cut_in_aggressive,2,26,False,Planning
cut_in_aggressive,2,27,False,Planning
cut_in_aggressive,2,28,False,Planning
cut_in_aggressive,2,29,False,Planning
cut_in_aggressive,3,0,False,Planning
cut_in_aggressive,3,1,False,
cut_in_aggressive,3,2,False,
cut_in_aggressive,3,3,False,
cut_in_aggressive,3,4,True,Planning
cut_in_aggressive,3,5,False,
cut_in_aggressive,3,6,False,
cut_in_aggressive,3,7,False,
cut_in_aggressive,3,8,False,
cut_in_aggressive,3,9,False,
cut_in_aggressive,3,10,False,Planning
cut_in_aggressive,3,11,False,
cut_in_aggressive,3,12,True,Planning
cut_in_aggressive,3,13,False,Planning
cut_in_aggressive,3,14,False,
cut_in_aggressive,3,15,False,
cut_in_aggressive,3,16,True,Planning
cut_in_aggressive,3,17,True,Planning
cut_in_aggressive,3,18,False,
cut_in_aggressive,3,19,False,
cut_in_aggressive,3,20,False,
cut_in_aggressive,3,21,False,
cut_in_aggressive,3,22,False,Planning
cut_in_aggressive,3,23,True,Planning
cut_in_aggressive,3,24,True,Planning
cut_in_aggressive,3,25,False,
cut_in_aggressive,3,26,False,Planning
cut_in_aggressive,3,27,False,Planning
cut_in_aggressive,3,28,False,Planning
cut_in_aggressive,3,29,False,Planning
cut_in_aggressive,4,0,True,Planning
cut_in_aggressive,4,1,False,Planning
cut_in_aggressive,4,2,False,
cut_in_aggressive,4,3,False,
cut_in_aggressive,4,4,True,Planning
cut_in_aggressive,4,5,False,
cut_in_aggressive,4,6,False,
cut_in_aggressive,4,7,False,
cut_in_aggressive,4,8,False,
cut_in_aggressive,4,9,False,
cut_in_aggressive,4,10,True,Planning
cut_in_aggressive,4,11,False,
cut_in_aggressive,4,12,False,
cut_in_aggressive,4,13,False,Prediction
cut_in_aggressive,4,14,False,Planning
cut_in_aggressive,4,15,False,
cut_in_aggressive,4,16,True,Planning
cut_in_aggressive,4,17,True,Planning
cut_in_aggressive,4,18,True,Planning
cut_in_aggressive,4,19,False,Planning
cut_in_aggressive,4,20,False,
cut_in_aggressive,4,21,False,Planning
cut_in_aggressive,4,22,False,Planning
cut_in_aggressive,4,23,False,Planning
cut_in_aggressive,4,24,True,Planning
cut_in_aggressive,4,25,False,Planning
cut_in_aggressive,4,26,False,
cut_in_aggressive,4,27,False,Planning
cut_in_aggressive,4,28,False,Planning
cut_in_aggressive,4,29,True,Planning
