scenario,seed,episode,crashed,failure_category
cut_in_high_speed,0,0,False,Planning
cut_in_high_speed,0,1,False,
cut_in_high_speed,0,2,False,
cut_in_high_speed,0,3,False,Planning
cut_in_high_speed,0,4,False,
cut_in_high_speed,0,5,False,
cut_in_high_speed,0,6,False,
cut_in_high_speed,0,7,False,Planning
cut_in_high_speed,0,8,False,Planning
cut_in_high_speed,0,9,False,
cut_in_high_speed,0,10,False,
cut_in_high_speed,0,11,False,
cut_in_high_speed,0,12,True,Planning
cut_in_high_speed,0,13,True,Planning
cut_in_high_speed,0,14,False,
cut_in_high_speed,0,15,False,Planning
cut_in_high_speed,0,16,False,Planning
cut_in_high_speed,0,17,True,Planning
cut_in_high_speed,0,18,False,Planning
cut_in_high_speed,0,19,False,
cut_in_high_speed,0,20,True,Planning
cut_in_high_speed,0,21,False,Planning
cut_in_high_speed,0,22,False,Prediction
cut_in_high_speed,0,23,False,Planning
cut_in_high_speed,0,24,True,Planning
cut_in_high_speed,0,25,False,
cut_in_high_speed,0,26,False,
cut_in_high_speed,0,27,False,Planning
cut_in_high_speed,0,28,False,Planning
cut_in_high_speed,0,29,True,Planning
cut_in_high_speed,1,0,False,
cut_in_high_speed,1,1,True,Planning
cut_in_high_speed,1,2,False,Planning
cut_in_high_speed,1,3,True,Planning
cut_in_high_speed,1,4,False,
cut_in_high_speed,1,5,False,
cut_in_high_speed,1,6,False,
cut_in_high_speed,1,7,False,
cut_in_high_speed,1,8,False,
cut_in_high_speed,1,9,False,
cut_in_high_speed,1,10,False,Planning
cut_in_high_speed,1,11,False,
cut_in_high_speed,1,12,True,Planning
cut_in_high_speed,1,13,False,Planning
cut_in_high_speed,1,14,False,Planning
cut_in_high_speed,1,15,False,
cut_in_high_speed,1,16,False,Planning
cut_in_high_speed,1,17,True,Planning
cut_in_high_speed,1,18,False,Planning
cut_in_high_speed,1,19,False,
cut_in_high_speed,1,20,False,Planning
cut_in_high_speed,1,21,False,Planning
cut_in_high_speed,1,22,False,
cut_in_high_speed,1,23,True,Planning
cut_in_high_speed,1,24,True,Planning
cut_in_high_speed,1,25,False,
cut_in_high_speed,1,26,False,Planning
cut_in_high_speed,1,27,False,Planning
cut_in_high_speed,1,28,False,
cut_in_high_speed,1,29,False,Planning
cut_in_high_speed,2,0,False,Planning
cut_in_high_speed,2,1,False,Planning
cut_in_high_speed,2,2,False,Planning
cut_in_high_speed,2,3,False,Planning
cut_in_high_speed,2,4,True,Planning
cut_in_high_speed,2,5,False,
cut_in_high_speed,2,6,False,
cut_in_high_speed,2,7,False,
cut_in_high_speed,2,8,False,
cut_in_high_speed,2,9,False,
cut_in_high_speed,2,10,False,
cut_in_high_speed,2,11,False,
cut_in_high_speed,2,12,False,
cut_in_high_speed,2,13,False,
cut_in_high_speed,2,14,False,Planning
cut_in_high_speed,2,15,False,
cut_in_high_speed,2,16,False,
cut_in_high_speed,2,17,True,Planning
cut_in_high_speed,2,18,False,
cut_in_high_speed,2,19,False,
cut_in_high_speed,2,20,False,Planning
cut_in_high_speed,2,21,False,Planning
cut_in_high_speed,2,22,False,Planning
cut_in_high_speed,2,23,False,
cut_in_high_speed,2,24,True,Planning
cut_in_high_speed,2,25,False,
cut_in_high_speed,2,26,False,
cut_in_high_speed,2,27,False,Planning
cut_in_high_speed,2,28,True,Planning
cut_in_high_speed,2,29,False,Planning
cut_in_high_speed,3,0,False,Planning
cut_in_high_speed,3,1,False,Planning
cut_in_high_speed,3,2,False,
cut_in_high_speed,3,3,False,Planning
cut_in_high_speed,3,4,False,
cut_in_high_speed,3,5,False,
cut_in_high_speed,3,6,False,
cut_in_high_speed,3,7,False,
cut_in_high_speed,3,8,False,
cut_in_high_speed,3,9,False,
cut_in_high_speed,3,10,False,
cut_in_high_speed,3,11,False,
cut_in_high_speed,3,12,False,
cut_in_high_speed,3,13,False,
cut_in_high_speed,3,14,False,
cut_in_high_speed,3,15,False,
cut_in_high_speed,3,16,False,Planning
cut_in_high_speed,3,17,True,Planning
cut_in_high_speed,3,18,True,Planning
cut_in_high_speed,3,19,False,
cut_in_high_speed,3,20,False,
cut_in_high_speed,3,21,False,Planning
cut_in_high_speed,3,22,False,
cut_in_high_speed,3,23,False,
cut_in_high_speed,3,24,False,
cut_in_high_speed,3,25,False,
cut_in_high_speed,3,26,False,
cut_in_high_speed,3,27,False,
cut_in_high_speed,3,28,False,
cut_in_high_speed,3,29,False,Planning
cut_in_high_speed,4,0,False,Planning
cut_in_high_speed,4,1,False,Planning
cut_in_high_speed,4,2,False,
cut_in_high_speed,4,3,True,Planning
cut_in_high_speed,4,4,False,
cut_in_high_speed,4,5,False,
cut_in_high_speed,4,6,False,
cut_in_high_speed,4,7,False,
cut_in_high_speed,4,8,False,
cut_in_high_speed,4,9,False,
cut_in_high_speed,4,10,False,Planning
cut_in_high_speed,4,11,False,
cut_in_high_speed,4,12,False,
cut_in_high_speed,4,13,True,Planning
cut_in_high_speed,4,14,False,
cut_in_high_speed,4,15,False,
cut_in_high_speed,4,16,False,Planning
cut_in_high_speed,4,17,True,Planning
cut_in_high_speed,4,18,False,
cut_in_high_speed,4,19,False,Planning
cut_in_high_speed,4,20,False,Planning
cut_in_high_speed,4,21,False,
cut_in_high_speed,4,22,False,
cut_in_high_speed,4,23,False,
cut_in_high_speed,4,24,True,Planning
cut_in_high_speed,4,25,False,
cut_in_high_speed,4,26,False,
cut_in_high_speed,4,27,False,Planning
cut_in_high_speed,4,28,False,Planning
cut_in_high_speed,4,29,False,Planning
