scenario,seed,episode,crashed,failure_category
emergency_braking_dense,0,0,True,Planning
emergency_braking_dense,0,1,True,Planning
emergency_braking_dense,0,2,True,Planning
emergency_braking_dense,0,3,True,Prediction
emergency_braking_dense,0,4,True,Planning
emergency_braking_dense,0,5,True,Planning
emergency_braking_dense,0,6,True,Planning
emergency_braking_dense,0,7,True,Planning
emergency_braking_dense,0,8,True,Planning
emergency_braking_dense,0,9,False,Planning
emergency_braking_dense,0,10,True,Planning
emergency_braking_dense,0,11,True,Planning
emergency_braking_dense,0,12,True,Planning
emergency_braking_dense,0,13,True,Planning
emergency_braking_dense,0,14,False,Planning
emergency_braking_dense,0,15,False,Planning
emergency_braking_dense,0,16,True,Planning
emergency_braking_dense,0,17,True,Planning
emergency_braking_dense,0,18,True,Planning
emergency_braking_dense,0,19,True,Planning
emergency_braking_dense,0,20,False,Planning
emergency_braking_dense,0,21,False,Planning
emergency_braking_dense,0,22,True,Planning
emergency_braking_dense,0,23,True,Planning
emergency_braking_dense,0,24,True,Planning
emergency_braking_dense,0,25,True,Planning
emergency_braking_dense,0,26,False,Planning
emergency_braking_dense,0,27,True,Planning
emergency_braking_dense,0,28,False,Planning
emergency_braking_dense,0,29,True,Planning
emergency_braking_dense,1,0,True,Planning
emergency_braking_dense,1,1,True,Planning
emergency_braking_dense,1,2,True,Prediction
emergency_braking_dense,1,3,True,Planning
emergency_braking_dense,1,4,True,Alignment
emergency_braking_dense,1,5,True,Alignment
emergency_braking_dense,1,6,True,Planning
emergency_braking_dense,1,7,True,Alignment
emergency_braking_dense,1,8,True,Planning
emergency_braking_dense,1,9,True,Alignment
emergency_braking_dense,1,10,True,Planning
emergency_braking_dense,1,11,True,Planning
emergency_braking_dense,1,12,True,Alignment
emergency_braking_dense,1,13,True,Alignment
emergency_braking_dense,1,14,True,Alignment
emergency_braking_dense,1,15,True,Alignment
emergency_braking_dense,1,16,True,Planning
emergency_braking_dense,1,17,True,Planning
emergency_braking_dense,1,18,True,Alignment
emergency_braking_dense,1,19,True,Prediction
emergency_braking_dense,1,20,True,Alignment
emergency_braking_dense,1,21,True,Planning
emergency_braking_dense,1,22,True,Alignment
emergency_braking_dense,1,23,True,Prediction
emergency_braking_dense,1,24,True,Planning
emergency_braking_dense,1,25,True,Planning
emergency_braking_dense,1,26,True,Planning
emergency_braking_dense,1,27,True,Planning
emergency_braking_dense,1,28,True,Planning
emergency_braking_dense,1,29,True,Planning
emergency_braking_dense,2,0,True,Planning
emergency_braking_dense,2,1,False,Planning
emergency_braking_dense,2,2,True,Planning
emergency_braking_dense,2,3,True,Planning
emergency_braking_dense,2,4,True,Prediction
emergency_braking_dense,2,5,True,Planning
emergency_braking_dense,2,6,True,Prediction
emergency_braking_dense,2,7,False,Prediction
emergency_braking_dense,2,8,True,Planning
emergency_braking_dense,2,9,True,Planning
emergency_braking_dense,2,10,True,Planning
emergency_braking_dense,2,11,True,Alignment
emergency_braking_dense,2,12,True,Planning
emergency_braking_dense,2,13,True,Planning
emergency_braking_dense,2,14,True,Planning
emergency_braking_dense,2,15,True,Planning
emergency_braking_dense,2,16,True,Planning
emergency_braking_dense,2,17,True,Planning
emergency_braking_dense,2,18,True,Planning
emergency_braking_dense,2,19,False,Planning
emergency_braking_dense,2,20,False,Alignment
emergency_braking_dense,2,21,False,Prediction
emergency_braking_dense,2,22,True,Planning
emergency_braking_dense,2,23,True,Prediction
emergency_braking_dense,2,24,False,Alignment
emergency_braking_dense,2,25,True,Planning
emergency_braking_dense,2,26,True,Prediction
emergency_braking_dense,2,27,False,Planning
emergency_braking_dense,2,28,False,Planning
emergency_braking_dense,2,29,True,Alignment
emergency_braking_dense,3,0,True,Planning
emergency_braking_dense,3,1,False,Planning
emergency_braking_dense,3,2,True,Planning
