scenario,seed,episode,crashed,failure_category
emergency_braking_lead_stop,0,0,False,
emergency_braking_lead_stop,0,1,False,Planning
emergency_braking_lead_stop,0,2,False,
emergency_braking_lead_stop,0,3,False,
emergency_braking_lead_stop,0,4,False,Prediction
emergency_braking_lead_stop,0,5,False,
emergency_braking_lead_stop,0,6,False,
emergency_braking_lead_stop,0,7,False,
emergency_braking_lead_stop,0,8,False,
emergency_braking_lead_stop,0,9,False,
emergency_braking_lead_stop,0,10,False,
emergency_braking_lead_stop,0,11,False,Planning
emergency_braking_lead_stop,0,12,False,Prediction
emergency_braking_lead_stop,0,13,False,
emergency_braking_lead_stop,0,14,False,Planning
emergency_braking_lead_stop,0,15,False,
emergency_braking_lead_stop,0,16,False,Planning
emergency_braking_lead_stop,0,17,False,
emergency_braking_lead_stop,0,18,False,
emergency_braking_lead_stop,0,19,False,
emergency_braking_lead_stop,0,20,False,
emergency_braking_lead_stop,0,21,True,Planning
emergency_braking_lead_stop,0,22,False,Planning
emergency_braking_lead_stop,0,23,False,
emergency_braking_lead_stop,0,24,True,Planning
emergency_braking_lead_stop,0,25,False,Planning
emergency_braking_lead_stop,0,26,False,
emergency_braking_lead_stop,0,27,False,
emergency_braking_lead_stop,0,28,False,
emergency_braking_lead_stop,0,29,False,Planning
emergency_braking_lead_stop,1,0,True,Planning
emergency_braking_lead_stop,1,1,False,
emergency_braking_lead_stop,1,2,False,
emergency_braking_lead_stop,1,3,False,
emergency_braking_lead_stop,1,4,False,Planning
emergency_braking_lead_stop,1,5,False,Planning
emergency_braking_lead_stop,1,6,False,
emergency_braking_lead_stop,1,7,False,Planning
emergency_braking_lead_stop,1,8,False,Alignment
emergency_braking_lead_stop,1,9,False,Prediction
emergency_braking_lead_stop,1,10,True,Planning
emergency_braking_lead_stop,1,11,False,Prediction
emergency_braking_lead_stop,1,12,True,Planning
emergency_braking_lead_stop,1,13,True,Planning
emergency_braking_lead_stop,1,14,False,Planning
emergency_braking_lead_stop,1,15,False,Planning
emergency_braking_lead_stop,1,16,False,Prediction
emergency_braking_lead_stop,1,17,False,Planning
emergency_braking_lead_stop,1,18,True,Planning
emergency_braking_lead_stop,1,19,False,
emergency_braking_lead_stop,1,20,False,Planning
emergency_braking_lead_stop,1,21,False,
emergency_braking_lead_stop,1,22,True,Planning
emergency_braking_lead_stop,1,23,False,
emergency_braking_lead_stop,1,24,True,Planning
emergency_braking_lead_stop,1,25,False,
emergency_braking_lead_stop,1,26,False,
emergency_braking_lead_stop,1,27,False,Planning
emergency_braking_lead_stop,1,28,False,
emergency_braking_lead_stop,1,29,False,Planning
emergency_braking_lead_stop,2,0,False,
emergency_braking_lead_stop,2,1,True,Planning
emergency_braking_lead_stop,2,2,False,
emergency_braking_lead_stop,2,3,False,
emergency_braking_lead_stop,2,4,False,Planning
emergency_braking_lead_stop,2,5,False,Planning
emergency_braking_lead_stop,2,6,False,
emergency_braking_lead_stop,2,7,False,
emergency_braking_lead_stop,2,8,False,
emergency_braking_lead_stop,2,9,False,Planning
emergency_braking_lead_stop,2,10,False,
emergency_braking_lead_stop,2,11,False,Planning
emergency_braking_lead_stop,2,12,False,
emergency_braking_lead_stop,2,13,True,Planning
emergency_braking_lead_stop,2,14,False,Planning
