scenario,seed,episode,crashed,failure_category
junction_crossing_busy,0,0,True,Alignment
junction_crossing_busy,0,1,False,Prediction
junction_crossing_busy,0,2,False,Prediction
junction_crossing_busy,0,3,True,Robustness
junction_crossing_busy,0,4,True,Robustness
junction_crossing_busy,0,5,False,Prediction
junction_crossing_busy,0,6,True,Robustness
junction_crossing_busy,0,7,True,Robustness
junction_crossing_busy,0,8,True,Robustness
junction_crossing_busy,0,9,False,Prediction
junction_crossing_busy,0,10,True,Robustness
junction_crossing_busy,0,11,True,Robustness
junction_crossing_busy,0,12,False,Prediction
junction_crossing_busy,0,13,True,Robustness
junction_crossing_busy,0,14,False,Prediction
junction_crossing_busy,0,15,True,Robustness
junction_crossing_busy,0,16,True,Robustness
junction_crossing_busy,0,17,False,Prediction
junction_crossing_busy,0,18,True,Robustness
junction_crossing_busy,0,19,True,Robustness
junction_crossing_busy,0,20,False,Prediction
junction_crossing_busy,0,21,True,Robustness
junction_crossing_busy,0,22,True,Robustness
junction_crossing_busy,0,23,True,Robustness
junction_crossing_busy,0,24,True,Robustness
junction_crossing_busy,0,25,True,Robustness
junction_crossing_busy,0,26,True,Robustness
junction_crossing_busy,0,27,True,Robustness
junction_crossing_busy,0,28,True,Robustness
junction_crossing_busy,0,29,True,Robustness
junction_crossing_busy,1,0,True,Robustness
junction_crossing_busy,1,1,False,Prediction
junction_crossing_busy,1,2,False,Prediction
junction_crossing_busy,1,3,True,Robustness
junction_crossing_busy,1,4,True,Robustness
junction_crossing_busy,1,5,False,Prediction
junction_crossing_busy,1,6,True,Robustness
junction_crossing_busy,1,7,True,Robustness
junction_crossing_busy,1,8,True,Robustness
junction_crossing_busy,1,9,False,Prediction
junction_crossing_busy,1,10,True,Robustness
junction_crossing_busy,1,11,True,Robustness
junction_crossing_busy,1,12,False,Prediction
junction_crossing_busy,1,13,True,Robustness
junction_crossing_busy,1,14,False,Prediction
junction_crossing_busy,1,15,True,Robustness
junction_crossing_busy,1,16,True,Robustness
junction_crossing_busy,1,17,False,Prediction
junction_crossing_busy,1,18,True,Robustness
junction_crossing_busy,1,19,True,Robustness
junction_crossing_busy,1,20,False,Prediction
junction_crossing_busy,1,21,True,Robustness
junction_crossing_busy,1,22,True,Robustness
junction_crossing_busy,1,23,True,Robustness
junction_crossing_busy,1,24,True,Robustness
junction_crossing_busy,1,25,True,Robustness
junction_crossing_busy,1,26,True,Robustness
junction_crossing_busy,1,27,True,Robustness
junction_crossing_busy,1,28,True,Robustness
junction_crossing_busy,1,29,True,Robustness
junction_crossing_busy,2,0,True,Robustness
junction_crossing_busy,2,1,False,Prediction
junction_crossing_busy,2,2,False,Prediction
junction_crossing_busy,2,3,True,Robustness
junction_crossing_busy,2,4,True,Robustness
junction_crossing_busy,2,5,False,Prediction
junction_crossing_busy,2,6,True,Robustness
junction_crossing_busy,2,7,True,Robustness
junction_crossing_busy,2,8,True,Robustness
junction_crossing_busy,2,9,False,Prediction
junction_crossing_busy,2,10,True,Robustness
junction_crossing_busy,2,11,True,Robustness
junction_crossing_busy,2,12,False,Prediction
junction_crossing_busy,2,13,True,Robustness
junction_crossing_busy,2,14,False,Prediction
junction_crossing_busy,2,15,True,Robustness
junction_crossing_busy,2,16,True,Robustness
junction_crossing_busy,2,17,False,Prediction
junction_crossing_busy,2,18,True,Robustness
junction_crossing_busy,2,19,True,Robustness
junction_crossing_busy,2,20,False,Prediction
junction_crossing_busy,2,21,True,Robustness
junction_crossing_busy,2,22,True,Robustness
junction_crossing_busy,2,23,True,Robustness
junction_crossing_busy,2,24,True,Robustness
junction_crossing_busy,2,25,True,Robustness
junction_crossing_busy,2,26,True,Robustness
