scenario,seed,episode,crashed,failure_category
junction_crossing_unprotected,0,0,True,Robustness
junction_crossing_unprotected,0,1,False,Prediction
junction_crossing_unprotected,0,2,False,Prediction
junction_crossing_unprotected,0,3,False,Prediction
junction_crossing_unprotected,0,4,False,Prediction
junction_crossing_unprotected,0,5,False,Prediction
junction_crossing_unprotected,0,6,True,Robustness
junction_crossing_unprotected,0,7,False,Prediction
junction_crossing_unprotected,0,8,False,Prediction
junction_crossing_unprotected,0,9,False,Prediction
junction_crossing_unprotected,0,10,True,Robustness
junction_crossing_unprotected,0,11,False,Prediction
junction_crossing_unprotected,0,12,True,Robustness
junction_crossing_unprotected,0,13,True,Alignment
junction_crossing_unprotected,0,14,False,Prediction
junction_crossing_unprotected,0,15,True,Alignment
junction_crossing_unprotected,0,16,True,Robustness
junction_crossing_unprotected,0,17,False,Prediction
junction_crossing_unprotected,0,18,True,Robustness
junction_crossing_unprotected,0,19,True,Robustness
junction_crossing_unprotected,0,20,True,Robustness
junction_crossing_unprotected,0,21,False,Prediction
junction_crossing_unprotected,0,22,True,Robustness
junction_crossing_unprotected,0,23,True,Robustness
junction_crossing_unprotected,0,24,True,Robustness
junction_crossing_unprotected,0,25,False,Prediction
junction_crossing_unprotected,0,26,False,Prediction
junction_crossing_unprotected,0,27,True,Robustness
junction_crossing_unprotected,0,28,True,Robustness
junction_crossing_unprotected,0,29,False,Prediction
junction_crossing_unprotected,1,0,True,Robustness
junction_crossing_unprotected,1,1,False,Prediction
junction_crossing_unprotected,1,2,False,Prediction
junction_crossing_unprotected,1,3,False,Prediction
junction_crossing_unprotected,1,4,False,Prediction
junction_crossing_unprotected,1,5,False,Prediction
junction_crossing_unprotected,1,6,True,Robustness
junction_crossing_unprotected,1,7,False,Prediction
junction_crossing_unprotected,1,8,False,Prediction
junction_crossing_unprotected,1,9,False,Prediction
junction_crossing_unprotected,1,10,True,Robustness
junction_crossing_unprotected,1,11,False,Prediction
junction_crossing_unprotected,1,12,True,Robustness
junction_crossing_unprotected,1,13,True,Robustness
junction_crossing_unprotected,1,14,False,Prediction
junction_crossing_unprotected,1,15,True,Robustness
junction_crossing_unprotected,1,16,True,Robustness
junction_crossing_unprotected,1,17,True,Robustness
junction_crossing_unprotected,1,18,True,Robustness
junction_crossing_unprotected,1,19,True,Robustness
junction_crossing_unprotected,1,20,True,Robustness
junction_crossing_unprotected,1,21,False,Prediction
junction_crossing_unprotected,1,22,True,Robustness
junction_crossing_unprotected,1,23,True,Robustness
junction_crossing_unprotected,1,24,True,Robustness
junction_crossing_unprotected,1,25,False,Prediction
junction_crossing_unprotected,1,26,False,Prediction
junction_crossing_unprotected,1,27,True,Robustness
junction_crossing_unprotected,1,28,True,Robustness
junction_crossing_unprotected,1,29,False,Prediction
junction_crossing_unprotected,2,0,True,Robustness
junction_crossing_unprotected,2,1,False,Prediction
junction_crossing_unprotected,2,2,False,Prediction
junction_crossing_unprotected,2,3,False,Prediction
junction_crossing_unprotected,2,4,False,Prediction
junction_crossing_unprotected,2,5,False,Prediction
junction_crossing_unprotected,2,6,True,Robustness
junction_crossing_unprotected,2,7,False,Prediction
junction_crossing_unprotected,2,8,False,Prediction
junction_crossing_unprotected,2,9,False,Prediction
junction_crossing_unprotected,2,10,True,Robustness
junction_crossing_unprotected,2,11,False,Prediction
junction_crossing_unprotected,2,12,True,Robustness
junction_crossing_unprotected,2,13,True,Robustness
junction_crossing_unprotected,2,14,False,Prediction
junction_crossing_unprotected,2,15,True,Robustness
junction_crossing_unprotected,2,16,True,Robustness
junction_crossing_unprotected,2,17,True,Robustness
junction_crossing_unprotected,2,18,True,Robustness
junction_crossing_unprotected,2,19,True,Robustness
junction_crossing_unprotected,2,20,True,Robustness
junction_crossing_unprotected,2,21,False,Prediction
junction_crossing_unprotected,2,22,True,Robustness
junction_crossing_unprotected,2,23,True,Robustness
junction_crossing_unprotected,2,24,True,Robustness
junction_crossing_unprotected,2,25,False,Prediction
junction_crossing_unprotected,2,26,False,Prediction
junction_crossing_unprotected,2,27,True,Robustness
junction_crossing_unprotected,2,28,True,Robustness
junction_crossing_unprotected,2,29,False,Prediction
junction_crossing_unprotected,3,0,True,Robustness
junction_crossing_unprotected,3,1,False,Prediction
junction_crossing_unprotected,3,2,False,Prediction
junction_crossing_unprotected,3,3,False,Prediction
junction_crossing_unprotected,3,4,False,Prediction
junction_crossing_unprotected,3,5,False,Alignment
junction_crossing_unprotected,3,6,True,Robustness
junction_crossing_unprotected,3,7,False,Prediction
junction_crossing_unprotected,3,8,False,Prediction
junction_crossing_unprotected,3,9,False,Prediction
junction_crossing_unprotected,3,10,True,Robustness
junction_crossing_unprotected,3,11,False,Prediction
junction_crossing_unprotected,3,12,True,Robustness
junction_crossing_unprotected,3,13,True,Robustness
junction_crossing_unprotected,3,14,False,Prediction
junction_crossing_unprotected,3,15,True,Robustness
junction_crossing_unprotected,3,16,True,Robustness
junction_crossing_unprotected,3,17,True,Robustness
junction_crossing_unprotected,3,18,True,Robustness
junction_crossing_unprotected,3,19,True,Robustness
junction_crossing_unprotected,3,20,True,Robustness
junction_crossing_unprotected,3,21,False,Prediction
junction_crossing_unprotected,3,22,True,Robustness
junction_crossing_unprotected,3,23,True,Robustness
junction_crossing_unprotected,3,24,True,Robustness
junction_crossing_unprotected,3,25,False,Prediction
junction_crossing_unprotected,3,26,False,Prediction
junction_crossing_unprotected,3,27,True,Robustness
junction_crossing_unprotected,3,28,True,Robustness
junction_crossing_unprotected,3,29,False,Prediction
junction_crossing_unprotected,4,0,True,Robustness
junction_crossing_unprotected,4,1,False,Prediction
junction_crossing_unprotected,4,2,False,Prediction
junction_crossing_unprotected,4,3,False,Prediction
junction_crossing_unprotected,4,4,False,Prediction
junction_crossing_unprotected,4,5,False,Prediction
junction_crossing_unprotected,4,6,True,Robustness
junction_crossing_unprotected,4,7,False,Prediction
junction_crossing_unprotected,4,8,False,Prediction
junction_crossing_unprotected,4,9,False,Prediction
junction_crossing_unprotected,4,10,True,Robustness
junction_crossing_unprotected,4,11,False,Prediction
junction_crossing_unprotected,4,12,True,Robustness
junction_crossing_unprotected,4,13,True,Robustness
junction_crossing_unprotected,4,14,False,Prediction
junction_crossing_unprotected,4,15,True,Robustness
junction_crossing_unprotected,4,16,True,Robustness
