scenario,seed,episode,crashed,failure_category
lane_change_blocked,0,0,False,
lane_change_blocked,0,1,False,
lane_change_blocked,0,2,False,
lane_change_blocked,0,3,False,
lane_change_blocked,0,4,False,Planning
lane_change_blocked,0,5,False,Planning
lane_change_blocked,0,6,False,
lane_change_blocked,0,7,True,Planning
lane_change_blocked,0,8,False,
lane_change_blocked,0,9,False,Planning
lane_change_blocked,0,10,False,Planning
lane_change_blocked,0,11,False,Prediction
lane_change_blocked,0,12,False,Planning
lane_change_blocked,0,13,False,
lane_change_blocked,0,14,False,Planning
lane_change_blocked,0,15,False,Planning
lane_change_blocked,0,16,False,Planning
lane_change_blocked,0,17,True,Planning
lane_change_blocked,0,18,True,Planning
lane_change_blocked,0,19,False,Planning
lane_change_blocked,0,20,False,
lane_change_blocked,0,21,True,Planning
lane_change_blocked,0,22,False,Planning
lane_change_blocked,0,23,False,
lane_change_blocked,0,24,False,Planning
lane_change_blocked,0,25,False,Planning
lane_change_blocked,0,26,False,Planning
lane_change_blocked,0,27,False,
lane_change_blocked,0,28,False,Prediction
lane_change_blocked,0,29,True,Planning
lane_change_blocked,1,0,False,Planning
lane_change_blocked,1,1,False,
lane_change_blocked,1,2,False,Planning
lane_change_blocked,1,3,False,
lane_change_blocked,1,4,False,Prediction
lane_change_blocked,1,5,False,Planning
lane_change_blocked,1,6,False,Planning
lane_change_blocked,1,7,False,Planning
lane_change_blocked,1,8,False,Planning
lane_change_blocked,1,9,False,Planning
lane_change_blocked,1,10,False,Planning
lane_change_blocked,1,11,False,Prediction
lane_change_blocked,1,12,True,Planning
lane_change_blocked,1,13,True,Planning
lane_change_blocked,1,14,False,Planning
lane_change_blocked,1,15,False,Planning
lane_change_blocked,1,16,False,
lane_change_blocked,1,17,False,
lane_change_blocked,1,18,True,Planning
lane_change_blocked,1,19,False,Planning
lane_change_blocked,1,20,False,Planning
lane_change_blocked,1,21,False,Planning
lane_change_blocked,1,22,False,Planning
lane_change_blocked,1,23,True,Planning
lane_change_blocked,1,24,True,Planning
lane_change_blocked,1,25,False,
lane_change_blocked,1,26,True,Planning
lane_change_blocked,1,27,False,Planning
lane_change_blocked,1,28,True,Planning
lane_change_blocked,1,29,False,Planning
lane_change_blocked,2,0,False,
lane_change_blocked,2,1,True,Interaction
lane_change_blocked,2,2,False,
lane_change_blocked,2,3,False,
lane_change_blocked,2,4,False,Planning
lane_change_blocked,2,5,False,Planning
lane_change_blocked,2,6,False,
lane_change_blocked,2,7,False,Planning
lane_change_blocked,2,8,False,
lane_change_blocked,2,9,True,Planning
lane_change_blocked,2,10,False,Planning
lane_change_blocked,2,11,False,Planning
lane_change_blocked,2,12,False,
lane_change_blocked,2,13,True,Interaction
lane_change_blocked,2,14,False,Planning
lane_change_blocked,2,15,False,Planning
lane_change_blocked,2,16,False,
lane_change_blocked,2,17,False,Planning
lane_change_blocked,2,18,False,
lane_change_blocked,2,19,False,Planning
lane_change_blocked,2,20,False,Alignment
lane_change_blocked,2,21,False,Planning
lane_change_blocked,2,22,False,Alignment
lane_change_blocked,2,23,True,Interaction
lane_change_blocked,2,24,True,Planning
lane_change_blocked,2,25,False,
lane_change_blocked,2,26,False,Planning
lane_change_blocked,2,27,False,Alignment
lane_change_blocked,2,28,True,Alignment
lane_change_blocked,2,29,False,Planning
lane_change_blocked,3,0,False,
lane_change_blocked,3,1,False,Planning
lane_change_blocked,3,2,False,
lane_change_blocked,3,3,False,
lane_change_blocked,3,4,False,
lane_change_blocked,3,5,False,Planning
lane_change_blocked,3,6,True,Interaction
lane_change_blocked,3,7,False,
lane_change_blocked,3,8,False,
lane_change_blocked,3,9,True,Planning
lane_change_blocked,3,10,False,Planning
lane_change_blocked,3,11,False,Planning
lane_change_blocked,3,12,False,
lane_change_blocked,3,13,False,
lane_change_blocked,3,14,False,
lane_change_blocked,3,15,False,
lane_change_blocked,3,16,False,
lane_change_blocked,3,17,False,
lane_change_blocked,3,18,False,
lane_change_blocked,3,19,False,Planning
lane_change_blocked,3,20,False,
lane_change_blocked,3,21,False,
lane_change_blocked,3,22,False,Planning
lane_change_blocked,3,23,False,
lane_change_blocked,3,24,False,Planning
lane_change_blocked,3,25,False,
lane_change_blocked,3,26,True,Planning
lane_change_blocked,3,27,False,Planning
lane_change_blocked,3,28,False,Planning
lane_change_blocked,3,29,False,Planning
lane_change_blocked,4,0,False,
lane_change_blocked,4,1,False,Prediction
lane_change_blocked,4,2,False,
lane_change_blocked,4,3,False,
lane_change_blocked,4,4,False,
lane_change_blocked,4,5,False,
lane_change_blocked,4,6,False,
lane_change_blocked,4,7,False,
lane_change_blocked,4,8,False,
lane_change_blocked,4,9,False,Prediction
lane_change_blocked,4,10,False,Prediction
lane_change_blocked,4,11,False,Prediction
lane_change_blocked,4,12,False,
lane_change_blocked,4,13,False,
lane_change_blocked,4,14,False,
lane_change_blocked,4,15,False,
lane_change_blocked,4,16,False,
lane_change_blocked,4,17,False,Planning
lane_change_blocked,4,18,False,Prediction
lane_change_blocked,4,19,False,
lane_change_blocked,4,20,True,Interaction
lane_change_blocked,4,21,False,
lane_change_blocked,4,22,False,Planning
lane_change_blocked,4,23,False,
lane_change_blocked,4,24,True,Planning
lane_change_blocked,4,25,False,Planning
lane_change_blocked,4,26,False,
lane_change_blocked,4,27,False,
lane_change_blocked,4,28,True,Interaction
lane_change_blocked,4,29,False,Planning
