scenario,seed,episode,crashed,failure_category
pedestrian_crossing,0,0,True,Prediction
pedestrian_crossing,0,1,True,Prediction
pedestrian_crossing,0,2,True,Prediction
pedestrian_crossing,0,3,True,Prediction
pedestrian_crossing,0,4,True,Prediction
pedestrian_crossing,0,5,True,Prediction
pedestrian_crossing,0,6,True,Prediction
pedestrian_crossing,0,7,True,Prediction
pedestrian_crossing,0,8,True,Prediction
pedestrian_crossing,0,9,True,Prediction
pedestrian_crossing,0,10,True,Planning
pedestrian_crossing,0,11,True,Prediction
pedestrian_crossing,0,12,True,Prediction
pedestrian_crossing,0,13,True,Planning
pedestrian_crossing,0,14,True,Prediction
pedestrian_crossing,0,15,True,Prediction
pedestrian_crossing,0,16,True,Prediction
pedestrian_crossing,0,17,True,Prediction
pedestrian_crossing,0,18,True,Prediction
pedestrian_crossing,0,19,True,Prediction
pedestrian_crossing,0,20,True,Prediction
pedestrian_crossing,0,21,True,Prediction
pedestrian_crossing,0,22,True,Prediction
pedestrian_crossing,0,23,True,Prediction
pedestrian_crossing,0,24,True,Prediction
pedestrian_crossing,0,25,True,Prediction
pedestrian_crossing,0,26,True,Prediction
pedestrian_crossing,0,27,True,Prediction
pedestrian_crossing,0,28,True,Prediction
pedestrian_crossing,0,29,True,Prediction
pedestrian_crossing,1,0,True,Prediction
pedestrian_crossing,1,1,True,Prediction
pedestrian_crossing,1,2,True,Prediction
pedestrian_crossing,1,3,True,Prediction
pedestrian_crossing,1,4,True,Prediction
pedestrian_crossing,1,5,True,Prediction
pedestrian_crossing,1,6,True,Prediction
pedestrian_crossing,1,7,True,Prediction
pedestrian_crossing,1,8,True,Prediction
pedestrian_crossing,1,9,True,Prediction
pedestrian_crossing,1,10,True,Planning
pedestrian_crossing,1,11,True,Prediction
pedestrian_crossing,1,12,True,Prediction
pedestrian_crossing,1,13,True,Planning
pedestrian_crossing,1,14,True,Prediction
pedestrian_crossing,1,15,True,Prediction
pedestrian_crossing,1,16,True,Prediction
pedestrian_crossing,1,17,True,Prediction
pedestrian_crossing,1,18,True,Prediction
pedestrian_crossing,1,19,True,Prediction
