scenario,nuplan_category,episode,env_id,steps,crashed,step_of_crash,total_reward,lane_changes,failure_category,primary_category,failure_events,evidence_paths,near_miss,near_miss_category,n_perception,n_prediction,n_planning,n_alignment,n_robustness,n_interaction,n_unknown
lane_change_simple,lane_change,0,highway-v0,19,True,19,17.2,19,Planning,Planning,1,results\analysis\runs\full_ablation_seed1_lane_change_simple\evidence\lane_change_simple_ep0000_step0019_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,1,highway-v0,30,False,0,27.3,27,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,2,highway-v0,7,True,7,5.8,7,Interaction,Interaction,1,results\analysis\runs\full_ablation_seed1_lane_change_simple\evidence\lane_change_simple_ep0002_step0007_interaction.json,False,,0,0,0,0,0,1,0
lane_change_simple,lane_change,3,highway-v0,30,False,0,27.35,26,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,4,highway-v0,30,False,0,27.3,28,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,5,highway-v0,23,True,23,20.46,3,Interaction,Interaction,1,results\analysis\runs\full_ablation_seed1_lane_change_simple\evidence\lane_change_simple_ep0005_step0023_interaction.json,False,,0,0,0,0,0,1,0
lane_change_simple,lane_change,6,highway-v0,18,True,18,15.46,4,Interaction,Interaction,1,results\analysis\runs\full_ablation_seed1_lane_change_simple\evidence\lane_change_simple_ep0006_step0018_interaction.json,False,,0,0,0,0,0,1,0
lane_change_simple,lane_change,7,highway-v0,30,False,0,27.28,21,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,8,highway-v0,30,False,0,27.64,16,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,9,highway-v0,30,False,0,27.28,19,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,10,highway-v0,21,True,21,18.26,13,Interaction,Interaction,1,results\analysis\runs\full_ablation_seed1_lane_change_simple\evidence\lane_change_simple_ep0010_step0021_interaction.json,False,,0,0,0,0,0,1,0
lane_change_simple,lane_change,11,highway-v0,9,True,9,7.46,2,Planning,Planning,1,results\analysis\runs\full_ablation_seed1_lane_change_simple\evidence\lane_change_simple_ep0011_step0009_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,12,highway-v0,30,False,0,27.28,12,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,13,highway-v0,30,False,0,27.59,17,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,14,highway-v0,30,False,0,27.93,5,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,15,highway-v0,18,True,18,15.52,14,Planning,Planning,1,results\analysis\runs\full_ablation_seed1_lane_change_simple\evidence\lane_change_simple_ep0015_step0018_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,16,highway-v0,30,False,0,27.61,17,,Unknown,0,,False,,0,0,0,0,0,0,0
