ttc_crit,speed_reward_min,condition,alignment_mean,alignment_sd
1.5,0.3,baseline,8.80,4.31
1.5,0.3,full_ablation,4.40,5.08
1.5,0.3,on_road_only,8.67,6.13
1.5,0.3,collision10_only,4.33,6.13
1.5,0.4,baseline,8.80,4.31
1.5,0.4,full_ablation,4.40,5.08
1.5,0.4,on_road_only,8.67,6.13
1.5,0.4,collision10_only,4.33,6.13
1.5,0.5,baseline,8.80,4.31
1.5,0.5,full_ablation,4.00,5.10
1.5,0.5,on_road_only,8.67,6.13
1.5,0.5,collision10_only,4.33,6.13
2.0,0.3,baseline,14.80,7.30
2.0,0.3,full_ablation,7.20,8.57
2.0,0.3,on_road_only,14.33,10.21
2.0,0.3,collision10_only,7.33,10.37
2.0,0.4,baseline,14.80,7.30
2.0,0.4,full_ablation,7.20,8.57
2.0,0.4,on_road_only,14.00,10.03
2.0,0.4,collision10_only,7.33,10.37
2.0,0.5,baseline,14.40,7.50
2.0,0.5,full_ablation,6.80,8.70
2.0,0.5,on_road_only,14.00,10.03
2.0,0.5,collision10_only,7.33,10.37
2.5,0.3,baseline,14.80,7.30
2.5,0.3,full_ablation,7.20,8.57
2.5,0.3,on_road_only,14.33,10.21
2.5,0.3,collision10_only,7.33,10.37
2.5,0.4,baseline,14.80,7.30
2.5,0.4,full_ablation,7.20,8.57
2.5,0.4,on_road_only,14.00,10.03
2.5,0.4,collision10_only,7.33,10.37
2.5,0.5,baseline,14.40,7.50
2.5,0.5,full_ablation,6.80,8.70
2.5,0.5,on_road_only,14.00,10.03
2.5,0.5,collision10_only,7.33,10.37
