scenario,nuplan_category,episode,env_id,steps,crashed,step_of_crash,total_reward,lane_changes,failure_category,primary_category,failure_events,n_perception,n_prediction,n_planning,n_alignment,n_robustness,n_interaction,n_unknown
lane_change_simple,lane_change,0,highway-v0,30,False,0,28.36,7,,Unknown,0,0,0,0,0,0,0,0
lane_change_simple,lane_change,1,highway-v0,15,True,15,13.51,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,2,highway-v0,7,True,7,5.8,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,3,highway-v0,6,True,6,4.84,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,4,highway-v0,9,True,9,7.73,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,5,highway-v0,7,True,7,5.67,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,6,highway-v0,5,True,5,3.82,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,7,highway-v0,5,True,5,3.82,1,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,8,highway-v0,6,True,6,4.84,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,9,highway-v0,10,True,10,8.51,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,10,highway-v0,6,True,6,4.84,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,11,highway-v0,25,True,25,23.15,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,12,highway-v0,5,True,5,3.78,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,13,highway-v0,5,True,5,3.87,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,14,highway-v0,7,True,7,5.71,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,15,highway-v0,25,True,25,22.73,9,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,16,highway-v0,7,True,7,5.8,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,17,highway-v0,5,True,5,3.87,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,18,highway-v0,5,True,5,3.82,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,19,highway-v0,8,True,8,6.65,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,20,highway-v0,20,True,20,17.96,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,21,highway-v0,6,True,6,4.92,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,22,highway-v0,9,True,9,7.74,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,23,highway-v0,9,True,9,7.6,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,24,highway-v0,3,True,3,1.98,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,25,highway-v0,8,True,8,6.78,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,26,highway-v0,8,True,8,6.62,0,Planning,Planning,1,0,0,1,0,0,0,0
lane_change_simple,lane_change,27,highway-v0,30,False,0,28.47,13,,Unknown,0,0,0,0,0,0,0,0
